model,roc_auc,precision,recall,f1_score,precision@10%
Logistic Regression,0.8460893649979123,0.5101663585951941,0.8189910979228486,0.6287015945330297,0.753968253968254
XGBoost,0.8458965344688554,0.6746031746031746,0.5044510385756676,0.5772495755517827,0.7380952380952381
Random Forest,0.8483395857171543,0.5181644359464627,0.8041543026706232,0.6302325581395349,0.7301587301587301
Gradient Boosting,0.8506933930842367,0.6833976833976834,0.5252225519287834,0.5939597315436241,0.7142857142857143
LightGBM,0.8317513792960569,0.5426695842450766,0.7359050445103857,0.6246851385390428,0.6984126984126984
Dummy,0.5,0.0,0.0,0.0,0.2619047619047619
