model,roc_auc,precision,recall,f1_score,precision@10%,brier_score
Logistic Regression calibrated,0.846031993931416,0.6604477611940298,0.5252225519287834,0.5851239669421487,0.753968253968254,0.13577397743237882
Logistic Regression,0.8460893649979123,0.5101663585951941,0.8189910979228486,0.6287015945330297,0.753968253968254,0.16808952348740577
XGBoost,0.8458965344688554,0.6746031746031746,0.5044510385756676,0.5772495755517827,0.7380952380952381,0.1357872486114502
Random Forest,0.8483395857171543,0.5181644359464627,0.8041543026706232,0.6302325581395349,0.7301587301587301,0.1614634024293936
Gradient Boosting,0.8506933930842367,0.6833976833976834,0.5252225519287834,0.5939597315436241,0.7142857142857143,0.13478866672452386
LightGBM,0.8493866076807108,0.5298804780876494,0.7893175074183977,0.634088200238379,0.7142857142857143,0.15988466452273034
Dummy,0.5,0.0,0.0,0.0,0.2619047619047619,0.2657728706624606
